Identifiant de ménage,Typologie du menage_Isolée,Typologie du menage_Menage avec enfant,Typologie du menage_Menage sans enfant,Territoire_Brignoles élargi,Territoire_CAVEM-Golf Saint Tropez,Territoire_Dracénoise,Territoire_HD,Territoire_TPM,Age_A1,Age_A2,Age_A3,Ressources_R0,Ressources_R1,Ressources_R2,Cible
90056373,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
89832569,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
90678719,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
84536118,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
90062617,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
69842532,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
89957919,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
90015093,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
90071355,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
90387013,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
90415916,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
90414394,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
90526803,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
89930989,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
90434406,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
84864103,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
90413531,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
90496744,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
90506157,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
90510650,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
21719381,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
90518116,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
90518728,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
90525725,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
90530322,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
89930829,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
90567522,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
90568571,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
68391048,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
90580054,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
90592552,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
20393807,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
90602986,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
90609830,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
90612771,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
90615830,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
84346334,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
90546438,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
90635959,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
90646892,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
90650254,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
90653836,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
90661953,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
90666679,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
90498489,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
67213186,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
90552940,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
90691123,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
90697734,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
90596525,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
90711382,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
90381798,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
90736184,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
